# HJDBAND
0.000 g
0.021 g
0.042 g
0.063 g
0.084 g
0.105 g
0.126 g
0.147 g
0.168 g
0.189 g
0.210 g
0.231 g
0.252 g
0.273 g
0.294 g
0.315 g
0.336 g
0.357 g
0.378 g
0.399 g
0.420 g
1.000 g
1.021 g
1.042 g
1.063 g
1.084 g
1.105 g
1.126 g
1.147 g
1.168 g
1.189 g
1.210 g
1.231 g
1.252 g
1.273 g
1.294 g
1.315 g
1.336 g
1.357 g
1.378 g
1.399 g
1.420 g
2.000 g
2.021 g
2.042 g
2.063 g
2.084 g
2.105 g
2.126 g
2.147 g
2.168 g
2.189 g
2.210 g
2.231 g
2.252 g
2.273 g
2.294 g
2.315 g
2.336 g
2.357 g
2.378 g
2.399 g
2.420 g
3.000 g
3.021 g
3.042 g
3.063 g
3.084 g
3.105 g
3.126 g
3.147 g
3.168 g
3.189 g
3.210 g
3.231 g
3.252 g
3.273 g
3.294 g
3.315 g
3.336 g
3.357 g
3.378 g
3.399 g
3.420 g
4.000 g
4.021 g
4.042 g
4.063 g
4.084 g
4.105 g
4.126 g
4.147 g
4.168 g
4.189 g
4.210 g
4.231 g
4.252 g
4.273 g
4.294 g
4.315 g
4.336 g
4.357 g
4.378 g
4.399 g
4.420 g
5.000 g
5.021 g
5.042 g
5.063 g
5.084 g
5.105 g
5.126 g
5.147 g
5.168 g
5.189 g
5.210 g
5.231 g
5.252 g
5.273 g
5.294 g
5.315 g
5.336 g
5.357 g
5.378 g
5.399 g
5.420 g
6.000 g
6.021 g
6.042 g
6.063 g
6.084 g
6.105 g
6.126 g
6.147 g
6.168 g
6.189 g
6.210 g
6.231 g
6.252 g
6.273 g
6.294 g
6.315 g
6.336 g
6.357 g
6.378 g
6.399 g
6.420 g
0.001 r
0.022 r
0.043 r
0.064 r
0.085 r
0.106 r
0.127 r
0.148 r
0.169 r
0.190 r
0.211 r
0.232 r
0.253 r
0.274 r
0.295 r
0.316 r
0.337 r
0.358 r
0.379 r
0.400 r
0.421 r
1.001 r
1.022 r
1.043 r
1.064 r
1.085 r
1.106 r
1.127 r
1.148 r
1.169 r
1.190 r
1.211 r
1.232 r
1.253 r
1.274 r
1.295 r
1.316 r
1.337 r
1.358 r
1.379 r
1.400 r
1.421 r
2.001 r
2.022 r
2.043 r
2.064 r
2.085 r
2.106 r
2.127 r
2.148 r
2.169 r
2.190 r
2.211 r
2.232 r
2.253 r
2.274 r
2.295 r
2.316 r
2.337 r
2.358 r
2.379 r
2.400 r
2.421 r
3.001 r
3.022 r
3.043 r
3.064 r
3.085 r
3.106 r
3.127 r
3.148 r
3.169 r
3.190 r
3.211 r
3.232 r
3.253 r
3.274 r
3.295 r
3.316 r
3.337 r
3.358 r
3.379 r
3.400 r
3.421 r
4.001 r
4.022 r
4.043 r
4.064 r
4.085 r
4.106 r
4.127 r
4.148 r
4.169 r
4.190 r
4.211 r
4.232 r
4.253 r
4.274 r
4.295 r
4.316 r
4.337 r
4.358 r
4.379 r
4.400 r
4.421 r
5.001 r
5.022 r
5.043 r
5.064 r
5.085 r
5.106 r
5.127 r
5.148 r
5.169 r
5.190 r
5.211 r
5.232 r
5.253 r
5.274 r
5.295 r
5.316 r
5.337 r
5.358 r
5.379 r
5.400 r
5.421 r
6.001 r
6.022 r
6.043 r
6.064 r
6.085 r
6.106 r
6.127 r
6.148 r
6.169 r
6.190 r
6.211 r
6.232 r
6.253 r
6.274 r
6.295 r
6.316 r
6.337 r
6.358 r
6.379 r
6.400 r
6.421 r
0.002 i
0.023 i
0.044 i
0.065 i
0.086 i
0.107 i
0.128 i
0.149 i
0.170 i
0.191 i
0.212 i
0.233 i
0.254 i
0.275 i
0.296 i
0.317 i
0.338 i
0.359 i
0.380 i
0.401 i
0.422 i
1.002 i
1.023 i
1.044 i
1.065 i
1.086 i
1.107 i
1.128 i
1.149 i
1.170 i
1.191 i
1.212 i
1.233 i
1.254 i
1.275 i
1.296 i
1.317 i
1.338 i
1.359 i
1.380 i
1.401 i
1.422 i
2.002 i
2.023 i
2.044 i
2.065 i
2.086 i
2.107 i
2.128 i
2.149 i
2.170 i
2.191 i
2.212 i
2.233 i
2.254 i
2.275 i
2.296 i
2.317 i
2.338 i
2.359 i
2.380 i
2.401 i
2.422 i
3.002 i
3.023 i
3.044 i
3.065 i
3.086 i
3.107 i
3.128 i
3.149 i
3.170 i
3.191 i
3.212 i
3.233 i
3.254 i
3.275 i
3.296 i
3.317 i
3.338 i
3.359 i
3.380 i
3.401 i
3.422 i
4.002 i
4.023 i
4.044 i
4.065 i
4.086 i
4.107 i
4.128 i
4.149 i
4.170 i
4.191 i
4.212 i
4.233 i
4.254 i
4.275 i
4.296 i
4.317 i
4.338 i
4.359 i
4.380 i
4.401 i
4.422 i
5.002 i
5.023 i
5.044 i
5.065 i
5.086 i
5.107 i
5.128 i
5.149 i
5.170 i
5.191 i
5.212 i
5.233 i
5.254 i
5.275 i
5.296 i
5.317 i
5.338 i
5.359 i
5.380 i
5.401 i
5.422 i
6.002 i
6.023 i
6.044 i
6.065 i
6.086 i
6.107 i
6.128 i
6.149 i
6.170 i
6.191 i
6.212 i
6.233 i
6.254 i
6.275 i
6.296 i
6.317 i
6.338 i
6.359 i
6.380 i
6.401 i
6.422 i
0.003 u
0.024 u
0.045 u
0.066 u
0.087 u
0.108 u
0.129 u
0.150 u
0.171 u
0.192 u
0.213 u
0.234 u
0.255 u
0.276 u
0.297 u
0.318 u
0.339 u
0.360 u
0.381 u
0.402 u
0.423 u
1.003 u
1.024 u
1.045 u
1.066 u
1.087 u
1.108 u
1.129 u
1.150 u
1.171 u
1.192 u
1.213 u
1.234 u
1.255 u
1.276 u
1.297 u
1.318 u
1.339 u
1.360 u
1.381 u
1.402 u
1.423 u
2.003 u
2.024 u
2.045 u
2.066 u
2.087 u
2.108 u
2.129 u
2.150 u
2.171 u
2.192 u
2.213 u
2.234 u
2.255 u
2.276 u
2.297 u
2.318 u
2.339 u
2.360 u
2.381 u
2.402 u
2.423 u
3.003 u
3.024 u
3.045 u
3.066 u
3.087 u
3.108 u
3.129 u
3.150 u
3.171 u
3.192 u
3.213 u
3.234 u
3.255 u
3.276 u
3.297 u
3.318 u
3.339 u
3.360 u
3.381 u
3.402 u
3.423 u
4.003 u
4.024 u
4.045 u
4.066 u
4.087 u
4.108 u
4.129 u
4.150 u
4.171 u
4.192 u
4.213 u
4.234 u
4.255 u
4.276 u
4.297 u
4.318 u
4.339 u
4.360 u
4.381 u
4.402 u
4.423 u
5.003 u
5.024 u
5.045 u
5.066 u
5.087 u
5.108 u
5.129 u
5.150 u
5.171 u
5.192 u
5.213 u
5.234 u
5.255 u
5.276 u
5.297 u
5.318 u
5.339 u
5.360 u
5.381 u
5.402 u
5.423 u
6.003 u
6.024 u
6.045 u
6.066 u
6.087 u
6.108 u
6.129 u
6.150 u
6.171 u
6.192 u
6.213 u
6.234 u
6.255 u
6.276 u
6.297 u
6.318 u
6.339 u
6.360 u
6.381 u
6.402 u
6.423 u
